timestamp_unix_s,timestamp_iso,scenario,run_id,label,attack_elapsed_s,true_lat_deg,true_lon_deg,lat_deg,lon_deg,abs_alt_m,rel_alt_m,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,battery_remaining_pct,battery_voltage_v
1772706641.1531756,2026-03-05T10:30:41.153176,spoof_drift,01,attack,18.934,47.3979712,8.5461644,47.398151940188654,8.546431410851797,0.47300001978874207,0.26200002431869507,0.010456357151269913,0.0032234815880656242,-9.688746452331543,0.00034911208786070347,0.0005478335660882294,-0.0003038211143575609,100.0,16.200000762939453
1772706641.257727,2026-03-05T10:30:41.257727,spoof_drift,01,attack,19.038,47.3979712,8.5461644,47.398152938230396,8.54643288527748,0.47700002789497375,0.26600000262260437,0.002854086458683014,0.001164944376796484,-9.674657821655273,0.0007704028394073248,-0.0001034536981023848,0.0003455456462688744,100.0,16.200000762939453
1772706641.3641055,2026-03-05T10:30:41.364105,spoof_drift,01,attack,19.145,47.3979712,8.5461644,47.39815395371488,8.54643438547165,0.4790000319480896,0.26900002360343933,-0.0013586642453446984,0.007468158379197121,-9.689645767211914,-0.0002038561215158552,-6.110942922532558e-05,0.000244180322624743,100.0,16.200000762939453
1772706641.465372,2026-03-05T10:30:41.465372,spoof_drift,01,attack,19.246,47.3979712,8.5461644,47.39815492040111,8.546435813575243,0.4790000319480896,0.26900002360343933,-0.0013586642453446984,0.007468158379197121,-9.689645767211914,-0.0002038561215158552,-6.110942922532558e-05,0.000244180322624743,100.0,16.200000762939453
1772706641.571733,2026-03-05T10:30:41.571733,spoof_drift,01,attack,19.352,47.3979712,8.5461644,47.39815593571718,8.546437313520606,0.4790000319480896,0.26900002360343933,-0.0013586642453446984,0.007468158379197121,-9.689645767211914,-0.0002038561215158552,-6.110942922532558e-05,0.000244180322624743,100.0,16.200000762939453
1772706641.6743329,2026-03-05T10:30:41.674333,spoof_drift,01,attack,19.455,47.3979712,8.5461644,47.398156915130414,8.546438760426051,0.4830000102519989,0.2720000147819519,-0.0021862019784748554,-0.003187017049640417,-9.671303749084473,-0.0005290133995003998,0.0012111181858927011,0.00023470680753234774,100.0,16.200000762939453
1772706641.776772,2026-03-05T10:30:41.776772,spoof_drift,01,attack,19.557,47.3979712,8.5461644,47.398157893009675,8.54644020506532,0.484000027179718,0.27300000190734863,0.0033539412543177605,-0.003872917266562581,-9.676186561584473,0.00040994389564730227,-0.00016111793229356408,0.0005653943517245352,100.0,16.200000762939453
1772706641.8798947,2026-03-05T10:30:41.879895,spoof_drift,01,attack,19.66,47.3979712,8.5461644,47.39815887741403,8.54644165934424,0.4910000264644623,0.2800000011920929,-0.004126627929508686,-0.003771234070882201,-9.67715835571289,-0.0002651300164870918,-0.0001440658379578963,0.0001367162767564878,100.0,16.200000762939453
1772706641.9823956,2026-03-05T10:30:41.982396,spoof_drift,01,attack,19.763,47.3979712,8.5461644,47.39815985588276,8.546443104854339,0.4910000264644623,0.2800000011920929,-0.004126627929508686,-0.003771234070882201,-9.67715835571289,-0.0002651300164870918,-0.0001440658379578963,0.0001367162767564878,100.0,16.200000762939453
1772706642.0913875,2026-03-05T10:30:42.091388,spoof_drift,01,attack,19.872,47.3979712,8.5461644,47.39816089631373,8.546444641902427,0.4970000088214874,0.28700000047683716,0.0013739365385845304,0.003825918072834611,-9.678051948547363,-0.00031323713483288884,-0.0006019536522217095,-0.0003319383249618113,100.0,16.200000762939453
1772706642.1941311,2026-03-05T10:30:42.194131,spoof_drift,01,attack,19.975,47.3979712,8.5461644,47.39816187709936,8.546446090835325,0.4970000088214874,0.28700000047683716,0.0013739365385845304,0.003825918072834611,-9.678051948547363,-0.00031323713483288884,-0.0006019536522217095,-0.0003319383249618113,100.0,16.200000762939453
1772706642.299105,2026-03-05T10:30:42.299105,spoof_drift,01,attack,20.08,47.3979712,8.5461644,47.39816287917406,8.54644757121896,0.4970000088214874,0.28700000047683716,0.0013739365385845304,0.003825918072834611,-9.678051948547363,-0.00031323713483288884,-0.0006019536522217095,-0.0003319383249618113,100.0,16.200000762939453
1772706642.4012535,2026-03-05T10:30:42.401253,spoof_drift,01,attack,20.182,47.3979712,8.5461644,47.398163854278955,8.546449011759616,0.5010000467300415,0.2900000214576721,-0.00015514472033828497,-0.0021786775905638933,-9.682169914245605,-0.0003514450800139457,0.00023976490774657577,-0.00045344160753302276,100.0,16.200000762939453
